,Unnamed: 0,built,water,tree,grass,flooded_veg,crop,shrub,bare,year,bridgeId,totalPixels,Latitude,S.No,Longitude,start_year,end_year
26,26,1077,0,71003,267,0,557,6599,1,2020,1,79504,28.29782724,6138,83.40426564,2021,2022
27,27,12004,32,35518,0,0,31260,165,0,2020,2,78979,27.60849681,7579,84.08100047,2021,2022
28,28,2296,1633,34291,3899,0,2052,35825,128,2020,3,80124,29.11384642,8166,81.66137689,2021,2022
29,29,3556,4431,48035,41,17,12129,3074,7676,2020,4,78959,27.56142096,8312,83.91125913,2021,2022
30,30,6442,0,48371,4,0,2817,21747,93,2021,0,79474,28.26744708,3041,82.78008074,2021,2022
31,31,978,0,71234,132,0,285,6868,7,2021,1,79504,28.29782724,6138,83.40426564,2021,2022
32,32,13426,261,28885,0,0,36096,46,265,2021,2,78979,27.60849681,7579,84.08100047,2021,2022
33,33,1991,2115,35475,3883,0,2884,33635,141,2021,3,80124,29.11384642,8166,81.66137689,2021,2022
34,34,3679,3957,45934,61,0,12267,2516,10545,2021,4,78959,27.56142096,8312,83.91125913,2021,2022
35,0,30,0,45978,9144,0,251,4865,0,2015,6,60268,28.82048495,8389,81.79084565,2021,2022
36,1,142,0,77324,1801,0,93,559,0,2015,7,80270,29.3009824,8390,81.63329454,2021,2022
37,2,3958,36,69671,1592,0,2700,1858,0,2015,8,79815,28.70686219,8391,82.20735866,2021,2022
38,3,1,2548,54626,14501,54,473,2551,465,2015,9,75219,28.8827921,8392,82.28924515,2021,2022
39,4,2471,206,52219,68,18,1032,23156,43,2015,10,79213,27.92135301,8422,85.36466025,2021,2022
40,5,3328,73,23755,2242,0,3800,45471,581,2015,11,79250,27.9716798,8423,85.32049226,2021,2022
41,6,991,6229,53718,26,0,580,17365,356,2015,12,79265,27.97589174,8424,85.4416965,2021,2022
42,7,1847,49,63577,2,0,291,13435,0,2015,13,79201,27.90200414,8425,85.32673306,2021,2022
43,8,3726,438,61328,34,0,1174,12493,15,2015,14,79208,27.90503584,8426,85.41639862,2021,2022
44,9,2765,0,55727,152,0,2807,17719,0,2015,15,79170,27.85990229,8427,85.32802252,2021,2022
45,10,6559,2026,51250,57,55,3020,15923,293,2015,16,79183,27.85960963,8428,85.12761316,2021,2022
46,11,0,0,56004,305,0,1523,22063,0,2016,6,79895,28.82048495,8389,81.79084565,2021,2022
47,12,0,0,75956,1328,0,97,2480,14,2016,7,80270,29.3009824,8390,81.63329454,2021,2022
48,13,4302,0,65769,0,0,5101,4632,11,2016,8,79815,28.70686219,8391,82.20735866,2021,2022
49,14,710,2340,43685,3572,1,3189,24269,2178,2016,9,79944,28.8827921,8392,82.28924515,2021,2022
50,15,5019,697,51225,141,0,2727,19400,4,2016,10,79213,27.92135301,8422,85.36466025,2021,2022
51,16,6004,0,25473,9550,0,3623,34566,34,2016,11,79250,27.9716798,8423,85.32049226,2021,2022
52,17,1980,803,61531,585,0,263,14092,11,2016,12,79265,27.97589174,8424,85.4416965,2021,2022
53,18,2234,9,66275,72,0,1440,9171,0,2016,13,79201,27.90200414,8425,85.32673306,2021,2022
54,19,4233,20,63814,247,0,2487,8407,0,2016,14,79208,27.90503584,8426,85.41639862,2021,2022
55,20,3331,47,58864,360,0,3648,12920,0,2016,15,79170,27.85990229,8427,85.32802252,2021,2022
56,21,9257,2133,58148,201,1,3349,5901,193,2016,16,79183,27.85960963,8428,85.12761316,2021,2022
57,22,5,0,56559,72,0,450,22809,0,2017,6,79895,28.82048495,8389,81.79084565,2021,2022
58,23,0,0,77417,1036,0,430,1298,89,2017,7,80270,29.3009824,8390,81.63329454,2021,2022
59,24,4691,0,65387,0,0,3387,6348,2,2017,8,79815,28.70686219,8391,82.20735866,2021,2022
60,25,780,2264,41031,1114,2,2624,30317,1812,2017,9,79944,28.8827921,8392,82.28924515,2021,2022
61,26,8207,397,50493,6,0,1433,18664,13,2017,10,79213,27.92135301,8422,85.36466025,2021,2022
62,27,7775,19,22454,393,0,3578,44852,179,2017,11,79250,27.9716798,8423,85.32049226,2021,2022
63,28,2183,4435,58785,407,0,125,13330,0,2017,12,79265,27.97589174,8424,85.4416965,2021,2022
64,29,3580,0,64271,44,0,1027,10279,0,2017,13,79201,27.90200414,8425,85.32673306,2021,2022
65,30,4415,41,63239,27,0,1911,9568,7,2017,14,79208,27.90503584,8426,85.41639862,2021,2022
66,31,5529,19,57607,257,0,3606,12148,4,2017,15,79170,27.85990229,8427,85.32802252,2021,2022
67,32,11336,2693,51208,0,38,2745,10974,189,2017,16,79183,27.85960963,8428,85.12761316,2021,2022
68,33,9,0,57005,17,0,806,22058,0,2018,6,79895,28.82048495,8389,81.79084565,2021,2022
69,34,0,0,77041,1048,0,590,1549,42,2018,7,80270,29.3009824,8390,81.63329454,2021,2022
70,35,5546,0,64305,0,0,4017,5943,4,2018,8,79815,28.70686219,8391,82.20735866,2021,2022
71,36,1245,2177,38211,205,2,2592,33460,2052,2018,9,79944,28.8827921,8392,82.28924515,2021,2022
72,37,8782,382,53180,0,9,2419,14411,30,2018,10,79213,27.92135301,8422,85.36466025,2021,2022
73,38,7226,4,23150,398,0,4830,43530,112,2018,11,79250,27.9716798,8423,85.32049226,2021,2022
74,39,1834,150,62348,564,0,42,14241,86,2018,12,79265,27.97589174,8424,85.4416965,2021,2022
75,40,3851,0,63667,0,0,607,11076,0,2018,13,79201,27.90200414,8425,85.32673306,2021,2022
76,41,4312,33,63852,51,0,1198,9762,0,2018,14,79208,27.90503584,8426,85.41639862,2021,2022
77,42,6045,25,60112,52,0,3438,9490,8,2018,15,79170,27.85990229,8427,85.32802252,2021,2022
78,43,12747,2633,50826,5,6,5441,7225,300,2018,16,79183,27.85960963,8428,85.12761316,2021,2022
79,44,25,0,58148,82,0,352,21288,0,2019,6,79895,28.82048495,8389,81.79084565,2021,2022
80,45,0,0,77069,1184,0,218,1517,282,2019,7,80270,29.3009824,8390,81.63329454,2021,2022
81,46,5797,0,64638,0,0,4286,5077,17,2019,8,79815,28.70686219,8391,82.20735866,2021,2022
82,47,1913,2395,40968,844,9,2415,29551,1849,2019,9,79944,28.8827921,8392,82.28924515,2021,2022
83,48,13706,362,49903,0,0,2060,13173,9,2019,10,79213,27.92135301,8422,85.36466025,2021,2022
84,49,9736,12,24213,143,0,4019,40867,260,2019,11,79250,27.9716798,8423,85.32049226,2021,2022
85,50,2230,2678,59669,241,0,167,14111,169,2019,12,79265,27.97589174,8424,85.4416965,2021,2022
86,51,6822,0,63842,0,0,939,7598,0,2019,13,79201,27.90200414,8425,85.32673306,2021,2022
87,52,5273,70,62313,1,0,1747,9799,5,2019,14,79208,27.90503584,8426,85.41639862,2021,2022
88,53,9929,26,59068,34,0,2697,7400,16,2019,15,79170,27.85990229,8427,85.32802252,2021,2022
89,54,15453,2622,49726,84,103,4897,6092,206,2019,16,79183,27.85960963,8428,85.12761316,2021,2022
90,55,114,0,59582,740,0,125,19334,0,2020,6,79895,28.82048495,8389,81.79084565,2021,2022
91,56,0,0,77203,1509,0,13,1437,108,2020,7,80270,29.3009824,8390,81.63329454,2021,2022
92,57,5289,0,65757,0,0,4367,4391,11,2020,8,79815,28.70686219,8391,82.20735866,2021,2022
93,58,3145,2407,40084,2291,0,2555,26833,2629,2020,9,79944,28.8827921,8392,82.28924515,2021,2022
94,59,13025,350,48214,124,0,2310,15127,63,2020,10,79213,27.92135301,8422,85.36466025,2021,2022
95,60,7982,1,23515,500,0,2474,44621,157,2020,11,79250,27.9716798,8423,85.32049226,2021,2022
96,61,2119,807,62399,561,0,13,13188,178,2020,12,79265,27.97589174,8424,85.4416965,2021,2022
97,62,6686,0,63305,23,0,1330,7857,0,2020,13,79201,27.90200414,8425,85.32673306,2021,2022
98,63,4785,23,62637,55,0,2032,9667,9,2020,14,79208,27.90503584,8426,85.41639862,2021,2022
99,64,10531,43,57344,132,0,4167,6930,23,2020,15,79170,27.85990229,8427,85.32802252,2021,2022
100,65,15170,2437,50012,26,21,3301,8030,186,2020,16,79183,27.85960963,8428,85.12761316,2021,2022
101,66,59,0,58810,71,0,1170,19785,0,2021,6,79895,28.82048495,8389,81.79084565,2021,2022
102,67,0,0,77171,194,0,1518,1387,0,2021,7,80270,29.3009824,8390,81.63329454,2021,2022
103,68,4785,0,65341,5,0,5103,4581,0,2021,8,79815,28.70686219,8391,82.20735866,2021,2022
104,69,4864,2545,41381,877,0,2710,25314,2253,2021,9,79944,28.8827921,8392,82.28924515,2021,2022
105,70,10044,268,52890,0,0,4362,11647,2,2021,10,79213,27.92135301,8422,85.36466025,2021,2022
106,71,7000,1,26973,309,0,4137,40669,161,2021,11,79250,27.9716798,8423,85.32049226,2021,2022
107,72,1100,469,64715,221,0,6,12637,116,2021,12,79265,27.97589174,8424,85.4416965,2021,2022
108,73,4723,0,63946,0,0,1559,8973,0,2021,13,79201,27.90200414,8425,85.32673306,2021,2022
109,74,3661,24,61385,2,0,2340,11796,0,2021,14,79208,27.90503584,8426,85.41639862,2021,2022
110,75,7474,22,58409,18,0,5084,8153,10,2021,15,79170,27.85990229,8427,85.32802252,2021,2022
111,76,14199,2434,51400,8,31,3632,7410,69,2021,16,79183,27.85960963,8428,85.12761316,2021,2022
112,0,3978,1100,59427,82,0,1759,12567,316,2015,18,79229,27.94473891,8436,85.0669621,2021,2022
113,1,2012,13,60937,244,0,302,14348,3,2015,19,77881,28.56726009,8437,82.42342085,2021,2022
114,2,58,2750,53101,267,27,2152,20501,1458,2015,20,80314,29.35298254,8439,80.38205556,2021,2022
115,3,104,149,51130,1410,0,5751,21880,3,2015,21,80427,29.49893095,8440,80.57062349,2021,2022
116,4,5834,11,65274,653,0,2488,4411,558,2016,18,79229,27.94473891,8436,85.0669621,2021,2022
117,5,1899,0,58044,21,0,1626,18102,0,2016,19,79692,28.56726009,8437,82.42342085,2021,2022
118,6,30,2785,55252,0,3,3230,16974,2040,2016,20,80314,29.35298254,8439,80.38205556,2021,2022
119,7,188,108,51227,694,0,5841,22326,43,2016,21,80427,29.49893095,8440,80.57062349,2021,2022
120,8,6524,250,61497,105,0,2312,8372,169,2017,18,79229,27.94473891,8436,85.0669621,2021,2022
121,9,2260,0,58432,0,0,858,18142,0,2017,19,79692,28.56726009,8437,82.42342085,2021,2022
122,10,25,2968,54513,0,5,2523,18874,1406,2017,20,80314,29.35298254,8439,80.38205556,2021,2022
123,11,248,110,53701,277,0,6531,19536,24,2017,21,80427,29.49893095,8440,80.57062349,2021,2022
124,12,6593,0,62651,13,0,4010,5891,71,2018,18,79229,27.94473891,8436,85.0669621,2021,2022
125,13,2400,0,57743,0,0,912,18623,14,2018,19,79692,28.56726009,8437,82.42342085,2021,2022
126,14,0,2845,59227,0,4,1046,15646,1546,2018,20,80314,29.35298254,8439,80.38205556,2021,2022
127,15,275,93,52092,515,0,7694,19726,32,2018,21,80427,29.49893095,8440,80.57062349,2021,2022
128,16,7221,10,61321,7,0,2700,7662,308,2019,18,79229,27.94473891,8436,85.0669621,2021,2022
129,17,2834,0,59367,0,0,641,16837,13,2019,19,79692,28.56726009,8437,82.42342085,2021,2022
130,18,0,3046,56707,0,2,746,18569,1244,2019,20,80314,29.35298254,8439,80.38205556,2021,2022
131,19,940,97,52706,780,0,3427,22098,379,2019,21,80427,29.49893095,8440,80.57062349,2021,2022
132,20,6424,0,61577,36,0,2622,8306,264,2020,18,79229,27.94473891,8436,85.0669621,2021,2022
133,21,3683,0,58172,0,0,1118,16719,0,2020,19,79692,28.56726009,8437,82.42342085,2021,2022
134,22,0,3030,53449,4,2,1514,21054,1261,2020,20,80314,29.35298254,8439,80.38205556,2021,2022
135,23,639,90,52280,1542,0,3774,21837,265,2020,21,80427,29.49893095,8440,80.57062349,2021,2022
136,24,5865,0,63279,7,0,2330,7620,128,2021,18,79229,27.94473891,8436,85.0669621,2021,2022
137,25,1404,0,59985,0,0,295,18008,0,2021,19,79692,28.56726009,8437,82.42342085,2021,2022
138,26,0,3436,58086,0,15,2756,14547,1474,2021,20,80314,29.35298254,8439,80.38205556,2021,2022
139,27,519,227,55021,1652,0,5897,17110,1,2021,21,80427,29.49893095,8440,80.57062349,2021,2022
140,0,109,5612,49612,921,659,5582,14784,2894,2015,23,80173,29.18552643,8454,81.02933527,2021,2022
141,1,0,255,13520,0,14,177,701,202,2015,24,14869,27.35291022,8455,85.54023618,2021,2022
142,2,54,5242,49129,303,0,8878,13619,2948,2016,23,80173,29.18552643,8454,81.02933527,2021,2022
143,3,90,1043,72143,413,0,1539,2860,719,2016,24,78818,27.35291022,8455,85.54023618,2021,2022
144,4,105,5285,48883,262,0,7845,15180,2613,2017,23,80173,29.18552643,8454,81.02933527,2021,2022
145,5,159,974,71124,91,0,1776,4154,540,2017,24,78818,27.35291022,8455,85.54023618,2021,2022
146,6,89,5044,44863,19,27,10085,17130,2916,2018,23,80173,29.18552643,8454,81.02933527,2021,2022
147,7,61,1188,70456,0,0,1307,5478,328,2018,24,78818,27.35291022,8455,85.54023618,2021,2022
148,8,111,5290,44439,221,0,10049,17389,2674,2019,23,80173,29.18552643,8454,81.02933527,2021,2022
149,9,83,1568,69486,3,3,1846,5377,452,2019,24,78818,27.35291022,8455,85.54023618,2021,2022
150,10,172,5410,52268,86,0,8357,11397,2483,2020,23,80173,29.18552643,8454,81.02933527,2021,2022
151,11,54,1096,69452,24,0,1690,5659,843,2020,24,78818,27.35291022,8455,85.54023618,2021,2022
152,12,127,5498,54092,108,5,9353,7725,3265,2021,23,80173,29.18552643,8454,81.02933527,2021,2022
153,13,7,943,69516,7,2,1358,5892,1093,2021,24,78818,27.35291022,8455,85.54023618,2021,2022
154,0,1693,353,54602,277,29,4168,18026,27,2015,32,79175,27.86542269,8463,85.30185161,2021,2022
155,1,3762,883,54141,1123,16,5379,13793,78,2016,32,79175,27.86542269,8463,85.30185161,2021,2022
156,2,5276,572,54764,285,0,5917,12223,138,2017,32,79175,27.86542269,8463,85.30185161,2021,2022
157,3,5243,280,54675,6,0,10554,8242,175,2018,32,79175,27.86542269,8463,85.30185161,2021,2022
158,4,8209,329,55890,6,0,7885,6706,150,2019,32,79175,27.86542269,8463,85.30185161,2021,2022
159,5,9016,578,53842,330,2,7673,7687,47,2020,32,79175,27.86542269,8463,85.30185161,2021,2022
160,6,6750,296,54769,102,0,10821,6370,67,2021,32,79175,27.86542269,8463,85.30185161,2021,2022
161,0,0,69,72249,1999,0,788,4116,555,2015,35,79776,28.66533543,8466,81.9943601,2021,2022
162,1,1349,0,46732,6157,0,1182,17934,3,2015,36,73357,28.89022184,8467,81.94350566,2021,2022
163,2,182,0,68302,1195,0,900,9258,0,2015,37,79837,28.75123098,8468,82.19125484,2021,2022
164,3,1551,5,40322,3703,196,3936,27113,258,2015,38,77084,28.79607749,8469,82.05413939,2021,2022
165,4,363,741,18957,1950,0,7947,29716,20527,2015,39,80213,29.22677498,8470,81.92578267,2021,2022
166,5,34,404,34127,4897,0,7742,21650,6503,2015,40,75357,29.19777887,8471,82.04724307,2021,2022
167,6,482,685,20895,4452,0,7440,25728,17273,2015,41,76964,29.20527612,8472,81.90776266,2021,2022
168,7,141,513,34642,685,0,3697,31995,8551,2015,42,80224,29.24848385,8473,81.94756164,2021,2022
169,8,0,0,68,0,0,3,40,0,2015,43,111,29.3027055,8474,82.05118448,2021,2022
170,9,1491,1905,27623,10091,0,10668,25539,2978,2015,44,80295,29.33431355,8475,81.98157663,2021,2022
171,10,4157,0,29257,15995,0,1786,17161,4510,2015,45,72885,29.38827771,8476,81.34136861,2021,2022
172,11,1206,0,51453,89,0,551,25825,0,2015,46,79124,27.79720808,8477,85.17941055,2021,2022
173,12,590,656,46873,1429,272,3329,23417,3543,2015,47,80109,29.09495949,8478,80.6649946,2021,2022
174,13,484,68,54901,327,0,1141,23381,19,2015,48,80321,29.36268046,8479,80.92480647,2021,2022
175,14,34,68,20358,5546,0,6545,16231,2473,2015,49,51255,29.19115059,8480,82.06174597,2021,2022
176,15,0,61,65354,1,0,391,13601,368,2016,35,79776,28.66533543,8466,81.9943601,2021,2022
177,16,264,6,37858,395,0,8662,32582,188,2016,36,79955,28.89022184,8467,81.94350566,2021,2022
178,17,200,0,59759,1,0,4217,15660,0,2016,37,79837,28.75123098,8468,82.19125484,2021,2022
179,18,155,0,33754,362,0,9758,34982,867,2016,38,79878,28.79607749,8469,82.05413939,2021,2022
180,19,348,1054,21597,4170,0,5979,42403,4659,2016,39,80213,29.22677498,8470,81.92578267,2021,2022
181,20,0,329,40683,30394,0,451,8114,206,2016,40,80177,29.19777887,8471,82.04724307,2021,2022
182,21,570,955,25262,11197,0,5036,32133,5035,2016,41,80196,29.20527612,8472,81.90776266,2021,2022
183,22,149,643,37805,4959,0,2493,31549,2626,2016,42,80224,29.24848385,8473,81.94756164,2021,2022
184,23,17,0,34193,11119,0,388,4546,0,2016,43,50263,29.3027055,8474,82.05118448,2021,2022
185,24,1254,2388,31467,13238,128,3074,27829,917,2016,44,80295,29.33431355,8475,81.98157663,2021,2022
186,25,2135,14,23299,1188,0,10078,39441,4186,2016,45,80341,29.38827771,8476,81.34136861,2021,2022
187,26,4298,0,53032,533,0,2863,18398,0,2016,46,79124,27.79720808,8477,85.17941055,2021,2022
188,27,456,777,48136,576,373,2711,25588,1492,2016,47,80109,29.09495949,8478,80.6649946,2021,2022
189,28,436,27,56843,259,0,2874,19853,29,2016,48,80321,29.36268046,8479,80.92480647,2021,2022
190,29,0,51,39051,33108,0,7,7920,42,2016,49,80179,29.19115059,8480,82.06174597,2021,2022
191,30,0,87,69426,0,0,153,9620,490,2017,35,79776,28.66533543,8466,81.9943601,2021,2022
192,31,280,0,40490,594,0,5533,32952,106,2017,36,79955,28.89022184,8467,81.94350566,2021,2022
193,32,288,0,57786,1,0,3007,18755,0,2017,37,79837,28.75123098,8468,82.19125484,2021,2022
194,33,172,0,33591,117,0,5724,39741,533,2017,38,79878,28.79607749,8469,82.05413939,2021,2022
195,34,202,928,20123,2042,0,5701,43989,7228,2017,39,80213,29.22677498,8470,81.92578267,2021,2022
196,35,36,241,38080,19480,0,1373,16169,4798,2017,40,80177,29.19777887,8471,82.04724307,2021,2022
197,36,530,614,22017,5014,0,6562,34342,11117,2017,41,80196,29.20527612,8472,81.90776266,2021,2022
198,37,146,578,35445,3632,0,1249,34673,4501,2017,42,80224,29.24848385,8473,81.94756164,2021,2022
199,38,0,0,19694,656,0,9494,41026,9397,2017,43,80267,29.3027055,8474,82.05118448,2021,2022
200,39,1231,2346,28839,7862,43,3979,33108,2887,2017,44,80295,29.33431355,8475,81.98157663,2021,2022
201,40,1961,0,24357,383,0,9234,41254,3152,2017,45,80341,29.38827771,8476,81.34136861,2021,2022
202,41,4329,0,50946,22,0,1684,22143,0,2017,46,79124,27.79720808,8477,85.17941055,2021,2022
203,42,450,755,48345,195,503,2259,26943,659,2017,47,80109,29.09495949,8478,80.6649946,2021,2022
204,43,413,20,54090,86,0,3072,22623,17,2017,48,80321,29.36268046,8479,80.92480647,2021,2022
205,44,36,43,34176,22589,0,1713,19351,2271,2017,49,80179,29.19115059,8480,82.06174597,2021,2022
206,45,0,39,68037,0,0,215,10941,544,2018,35,79776,28.66533543,8466,81.9943601,2021,2022
207,46,239,0,40705,164,0,6071,32769,7,2018,36,79955,28.89022184,8467,81.94350566,2021,2022
208,47,98,0,59470,0,0,3304,16965,0,2018,37,79837,28.75123098,8468,82.19125484,2021,2022
209,48,207,0,33071,92,0,7665,38615,228,2018,38,79878,28.79607749,8469,82.05413939,2021,2022
210,49,97,847,18375,50,0,11230,45386,4228,2018,39,80213,29.22677498,8470,81.92578267,2021,2022
211,50,2,234,34712,7092,0,7701,22039,8397,2018,40,80177,29.19777887,8471,82.04724307,2021,2022
212,51,525,759,21652,813,0,17933,32274,6238,2018,41,80196,29.20527612,8472,81.90776266,2021,2022
213,52,90,593,34343,1554,0,4145,34285,5214,2018,42,80224,29.24848385,8473,81.94756164,2021,2022
214,53,19,0,26191,3598,0,10105,36090,4264,2018,43,80267,29.3027055,8474,82.05118448,2021,2022
215,54,1149,2362,28009,1577,359,7586,35736,3517,2018,44,80295,29.33431355,8475,81.98157663,2021,2022
216,55,1720,1,23078,82,0,7777,43910,3773,2018,45,80341,29.38827771,8476,81.34136861,2021,2022
217,56,4528,0,51672,0,0,2594,20330,0,2018,46,79124,27.79720808,8477,85.17941055,2021,2022
218,57,553,650,50532,418,277,3173,23822,684,2018,47,80109,29.09495949,8478,80.6649946,2021,2022
219,58,417,57,53505,109,0,3185,23038,10,2018,48,80321,29.36268046,8479,80.92480647,2021,2022
220,59,3,49,28931,14287,0,2389,27890,6630,2018,49,80179,29.19115059,8480,82.06174597,2021,2022
221,60,0,1,68698,0,0,418,10469,190,2019,35,79776,28.66533543,8466,81.9943601,2021,2022
222,61,347,1,40850,630,0,5056,33040,31,2019,36,79955,28.89022184,8467,81.94350566,2021,2022
223,62,556,0,59643,0,0,1687,17951,0,2019,37,79837,28.75123098,8468,82.19125484,2021,2022
224,63,226,0,37952,73,0,5969,35303,355,2019,38,79878,28.79607749,8469,82.05413939,2021,2022
225,64,117,1162,18904,1996,0,1941,52226,3867,2019,39,80213,29.22677498,8470,81.92578267,2021,2022
226,65,42,660,33628,4856,11,1893,26280,12807,2019,40,80177,29.19777887,8471,82.04724307,2021,2022
227,66,410,1437,21852,9605,3,4255,36181,6453,2019,41,80196,29.20527612,8472,81.90776266,2021,2022
228,67,76,995,34935,5520,6,337,35753,2602,2019,42,80224,29.24848385,8473,81.94756164,2021,2022
229,68,0,0,19832,1176,0,1425,54466,3368,2019,43,80267,29.3027055,8474,82.05118448,2021,2022
230,69,1223,2623,28441,3298,626,5114,34904,4066,2019,44,80295,29.33431355,8475,81.98157663,2021,2022
231,70,2306,1,23901,334,0,9387,39886,4526,2019,45,80341,29.38827771,8476,81.34136861,2021,2022
232,71,5708,0,55145,0,0,2094,16152,25,2019,46,79124,27.79720808,8477,85.17941055,2021,2022
233,72,988,542,53424,206,138,3831,20294,686,2019,47,80109,29.09495949,8478,80.6649946,2021,2022
234,73,463,67,50587,117,0,3232,25831,24,2019,48,80321,29.36268046,8479,80.92480647,2021,2022
235,74,57,228,23727,2254,0,1100,39689,13124,2019,49,80179,29.19115059,8480,82.06174597,2021,2022
236,75,0,36,70079,0,0,497,8357,807,2020,35,79776,28.66533543,8466,81.9943601,2021,2022
237,76,398,0,41884,1679,0,5145,30778,71,2020,36,79955,28.89022184,8467,81.94350566,2021,2022
238,77,857,0,59227,0,0,2923,16756,74,2020,37,79837,28.75123098,8468,82.19125484,2021,2022
239,78,182,0,37750,222,0,5645,35403,676,2020,38,79878,28.79607749,8469,82.05413939,2021,2022
240,79,189,1070,19192,3522,5,4447,45590,6198,2020,39,80213,29.22677498,8470,81.92578267,2021,2022
241,80,141,525,35315,11168,4,1557,22607,8860,2020,40,80177,29.19777887,8471,82.04724307,2021,2022
242,81,832,977,22204,9279,0,5244,33504,8156,2020,41,80196,29.20527612,8472,81.90776266,2021,2022
243,82,151,836,35656,6005,3,453,34409,2711,2020,42,80224,29.24848385,8473,81.94756164,2021,2022
244,83,176,0,31810,15773,0,4242,27099,1167,2020,43,80267,29.3027055,8474,82.05118448,2021,2022
245,84,2096,2505,28600,3011,817,7082,31826,4358,2020,44,80295,29.33431355,8475,81.98157663,2021,2022
246,85,2980,0,26750,1644,0,5723,37995,5249,2020,45,80341,29.38827771,8476,81.34136861,2021,2022
247,86,6140,0,51373,13,0,2158,19440,0,2020,46,79124,27.79720808,8477,85.17941055,2021,2022
248,87,1000,506,51024,867,36,2775,23233,668,2020,47,80109,29.09495949,8478,80.6649946,2021,2022
249,88,503,87,54551,349,0,2813,22001,17,2020,48,80321,29.36268046,8479,80.92480647,2021,2022
250,89,255,116,30584,13994,0,1830,28174,5226,2020,49,80179,29.19115059,8480,82.06174597,2021,2022
251,90,0,116,70797,0,0,380,7464,1019,2021,35,79776,28.66533543,8466,81.9943601,2021,2022
252,91,352,18,42153,407,0,5436,31574,15,2021,36,79955,28.89022184,8467,81.94350566,2021,2022
253,92,453,0,59926,1,0,1931,17525,1,2021,37,79837,28.75123098,8468,82.19125484,2021,2022
254,93,103,0,38218,261,0,7545,33663,88,2021,38,79878,28.79607749,8469,82.05413939,2021,2022
255,94,264,1218,21095,2579,0,7403,45302,2352,2021,39,80213,29.22677498,8470,81.92578267,2021,2022
256,95,363,503,37152,10181,0,9607,18122,4249,2021,40,80177,29.19777887,8471,82.04724307,2021,2022
257,96,664,1181,24887,10663,0,9145,29854,3802,2021,41,80196,29.20527612,8472,81.90776266,2021,2022
258,97,77,856,36779,3087,2,5659,31423,2341,2021,42,80224,29.24848385,8473,81.94756164,2021,2022
259,98,191,4,24317,4346,1,16971,23438,3093,2021,43,74974,29.3027055,8474,82.05118448,2021,2022
