,Unnamed: 0,built,water,tree,grass,flooded_veg,crop,shrub,bare,year,bridgeId,totalPixels,Latitude,S.No,Longitude,start_year,end_year
0,0,2893,45,58331,7607,0,2377,8163,58,2015,0,79474,28.26744708,3041,82.78008074,2021,2022
1,1,876,84,68519,228,0,521,9236,40,2015,1,79504,28.29782724,6138,83.40426564,2021,2022
2,2,8693,31,36097,1448,0,31301,1399,10,2015,2,78979,27.60849681,7579,84.08100047,2021,2022
3,3,2771,1840,28805,7479,0,9411,25319,394,2015,3,76019,29.11384642,8166,81.66137689,2021,2022
4,4,3243,3320,47399,67,38,13643,2192,9057,2015,4,78959,27.56142096,8312,83.91125913,2021,2022
5,5,4251,0,44402,195,0,5759,24705,162,2016,0,79474,28.26744708,3041,82.78008074,2021,2022
6,6,807,0,69125,1006,0,1926,6640,0,2016,1,79504,28.29782724,6138,83.40426564,2021,2022
7,7,8095,122,44291,7,4,26351,109,0,2016,2,78979,27.60849681,7579,84.08100047,2021,2022
8,8,1549,1801,29912,1331,0,6521,38826,184,2016,3,80124,29.11384642,8166,81.66137689,2021,2022
9,9,2759,4421,49121,92,0,11709,1342,9515,2016,4,78959,27.56142096,8312,83.91125913,2021,2022
10,10,3611,0,44106,5,0,3787,27815,150,2017,0,79474,28.26744708,3041,82.78008074,2021,2022
11,11,788,0,69795,302,0,860,7735,24,2017,1,79504,28.29782724,6138,83.40426564,2021,2022
12,12,10000,39,36221,0,0,31700,1019,0,2017,2,78979,27.60849681,7579,84.08100047,2021,2022
13,13,1753,1847,30975,1294,0,4016,40196,43,2017,3,80124,29.11384642,8166,81.66137689,2021,2022
14,14,3285,3889,48141,67,14,12523,1553,9487,2017,4,78959,27.56142096,8312,83.91125913,2021,2022
15,15,4012,0,44651,0,0,4682,25968,161,2018,0,79474,28.26744708,3041,82.78008074,2021,2022
16,16,885,0,70365,506,0,473,7275,0,2018,1,79504,28.29782724,6138,83.40426564,2021,2022
17,17,11234,19,34264,0,0,33229,233,0,2018,2,78979,27.60849681,7579,84.08100047,2021,2022
18,18,1821,1674,30156,134,0,6510,39783,46,2018,3,80124,29.11384642,8166,81.66137689,2021,2022
19,19,3109,3786,47856,20,0,12696,2246,9246,2018,4,78959,27.56142096,8312,83.91125913,2021,2022
20,20,6297,0,45453,0,0,3239,24360,125,2019,0,79474,28.26744708,3041,82.78008074,2021,2022
21,21,971,0,72147,306,0,256,5822,2,2019,1,79504,28.29782724,6138,83.40426564,2021,2022
22,22,13000,76,31832,0,0,33492,579,0,2019,2,78979,27.60849681,7579,84.08100047,2021,2022
23,23,1775,2038,30347,2146,0,2334,41484,0,2019,3,80124,29.11384642,8166,81.66137689,2021,2022
24,24,3554,3394,46177,0,10,12316,4024,9484,2019,4,78959,27.56142096,8312,83.91125913,2021,2022
25,25,7150,0,47624,13,0,1968,22640,79,2020,0,79474,28.26744708,3041,82.78008074,2021,2022
